1	9
1	21
1	36
1	42
1	43
1	53
1	58
1	61
1	77
1	81
1	82
1	93
1	98
1	110
1	114
1	120
2	7
2	23
2	31
2	33
2	38
2	41
2	54
2	60
2	61
2	62
2	64
2	74
2	89
2	106
2	107
2	117
3	18
3	23
3	26
3	28
3	32
3	34
3	36
3	45
3	54
3	57
3	64
3	70
3	74
3	76
3	98
3	99
4	22
4	33
4	34
4	38
4	50
4	54
4	62
4	64
4	73
4	80
4	95
4	96
4	106
4	107
4	124
4	128
5	17
5	29
5	34
5	42
5	43
5	51
5	55
5	56
5	67
5	69
5	78
5	101
5	105
5	107
5	115
5	124
6	11
6	15
6	28
6	29
6	30
6	37
6	42
6	45
6	47
6	50
6	53
6	68
6	76
6	79
6	84
6	124
7	2
7	35
7	38
7	39
7	56
7	59
7	65
7	79
7	91
7	97
7	100
7	104
7	109
7	111
7	113
7	127
8	28
8	31
8	33
8	38
8	55
8	60
8	73
8	74
8	76
8	85
8	98
8	100
8	102
8	106
8	118
8	126
9	1
9	13
9	21
9	43
9	48
9	49
9	72
9	76
9	77
9	81
9	92
9	94
9	99
9	109
9	115
9	116
10	28
10	29
10	35
10	46
10	69
10	71
10	75
10	78
10	81
10	87
10	95
10	97
10	103
10	108
10	117
10	126
11	6
11	13
11	14
11	16
11	19
11	31
11	51
11	53
11	54
11	71
11	92
11	103
11	105
11	112
11	123
11	128
12	14
12	21
12	26
12	32
12	43
12	61
12	64
12	75
12	81
12	92
12	103
12	112
12	117
12	118
12	122
12	123
13	9
13	11
13	21
13	44
13	48
13	49
13	50
13	57
13	89
13	94
13	99
13	103
13	112
13	122
13	123
13	128
14	11
14	12
14	16
14	19
14	42
14	47
14	72
14	78
14	82
14	93
14	99
14	108
14	110
14	121
14	123
14	126
15	6
15	21
15	29
15	42
15	43
15	55
15	58
15	68
15	71
15	79
15	88
15	101
15	116
15	117
15	125
15	127
16	11
16	14
16	19
16	21
16	43
16	49
16	50
16	51
16	58
16	61
16	64
16	71
16	82
16	96
16	110
16	128
17	5
17	30
17	35
17	42
17	45
17	47
17	61
17	67
17	68
17	71
17	78
17	79
17	100
17	110
17	115
17	126
18	3
18	20
18	31
18	33
18	50
18	56
18	60
18	62
18	64
18	87
18	101
18	106
18	111
18	118
18	119
18	128
19	11
19	14
19	16
19	21
19	43
19	51
19	56
19	76
19	79
19	103
19	112
19	115
19	116
19	121
19	123
19	128
20	18
20	23
20	26
20	32
20	34
20	50
20	52
20	69
20	71
20	73
20	76
20	78
20	83
20	84
20	119
20	123
21	1
21	9
21	12
21	13
21	15
21	16
21	19
21	51
21	52
21	54
21	73
21	80
21	93
21	94
21	99
21	120
22	4
22	23
22	25
22	27
22	35
22	39
22	48
22	57
22	63
22	80
22	81
22	84
22	86
22	100
22	124
22	127
23	2
23	3
23	20
23	22
23	26
23	31
23	34
23	40
23	50
23	62
23	74
23	75
23	83
23	119
23	120
23	127
24	28
24	29
24	30
24	40
24	41
24	44
24	48
24	54
24	56
24	63
24	66
24	90
24	91
24	100
24	102
24	122
25	22
25	48
25	60
25	64
25	65
25	70
25	80
25	89
25	91
25	96
25	102
25	109
25	111
25	112
25	114
25	125
26	3
26	12
26	20
26	23
26	34
26	44
26	49
